+---------------------------------------------+------------------+---------------------+--------------+
|                    Layer                    | Total Parameters | Non-zero Parameters | Sparsity (%) |
+---------------------------------------------+------------------+---------------------+--------------+
|               obj_logit_scale               |        1         |          1          |     0.00     |
|           obj_encoder.conv1.weight          |       192        |         192         |     0.00     |
|            obj_encoder.conv1.bias           |        64        |          0          |    100.00    |
|           obj_encoder.conv2.weight          |       8192       |         8192        |     0.00     |
|            obj_encoder.conv2.bias           |       128        |          0          |    100.00    |
|           obj_encoder.conv3.weight          |      98304       |        98304        |     0.00     |
|            obj_encoder.conv3.bias           |       768        |          0          |    100.00    |
|         rel_encoder_2d.conv1.weight         |       704        |         704         |     0.00     |
|          rel_encoder_2d.conv1.bias          |        64        |          0          |    100.00    |
|         rel_encoder_2d.conv2.weight         |       8192       |         8192        |     0.00     |
|          rel_encoder_2d.conv2.bias          |       128        |          0          |    100.00    |
|         rel_encoder_2d.conv3.weight         |      65536       |        65536        |     0.00     |
|          rel_encoder_2d.conv3.bias          |       512        |          0          |    100.00    |
|         rel_encoder_3d.conv1.weight         |       704        |         704         |     0.00     |
|          rel_encoder_3d.conv1.bias          |        64        |          0          |    100.00    |
|         rel_encoder_3d.conv2.weight         |       8192       |         8192        |     0.00     |
|          rel_encoder_3d.conv2.bias          |       128        |          0          |    100.00    |
|         rel_encoder_3d.conv3.weight         |      65536       |        65536        |     0.00     |
|          rel_encoder_3d.conv3.bias          |       512        |          0          |    100.00    |
|     mmg.self_attn.0.attention.fc_q.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.0.attention.fc_q.weight    |      262144      |        183501       |    30.00     |
|     mmg.self_attn.0.attention.fc_k.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.0.attention.fc_k.weight    |      262144      |        183501       |    30.00     |
|     mmg.self_attn.0.attention.fc_v.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.0.attention.fc_v.weight    |      262144      |        183501       |    30.00     |
|     mmg.self_attn.0.attention.fc_o.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.0.attention.fc_o.weight    |      262144      |        183501       |    30.00     |
|      mmg.self_attn.0.layer_norm.weight      |       512        |         512         |     0.00     |
|       mmg.self_attn.0.layer_norm.bias       |       512        |          0          |    100.00    |
|     mmg.self_attn.1.attention.fc_q.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.1.attention.fc_q.weight    |      262144      |        183501       |    30.00     |
|     mmg.self_attn.1.attention.fc_k.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.1.attention.fc_k.weight    |      262144      |        183501       |    30.00     |
|     mmg.self_attn.1.attention.fc_v.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.1.attention.fc_v.weight    |      262144      |        183501       |    30.00     |
|     mmg.self_attn.1.attention.fc_o.bias     |       512        |          0          |    100.00    |
|    mmg.self_attn.1.attention.fc_o.weight    |      262144      |        183501       |    30.00     |
|      mmg.self_attn.1.layer_norm.weight      |       512        |         512         |     0.00     |
|       mmg.self_attn.1.layer_norm.bias       |       512        |          0          |    100.00    |
|     mmg.cross_attn.0.attention.fc_q.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.0.attention.fc_q.weight   |      262144      |        183501       |    30.00     |
|     mmg.cross_attn.0.attention.fc_k.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.0.attention.fc_k.weight   |      262144      |        183501       |    30.00     |
|     mmg.cross_attn.0.attention.fc_v.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.0.attention.fc_v.weight   |      262144      |        183501       |    30.00     |
|     mmg.cross_attn.0.attention.fc_o.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.0.attention.fc_o.weight   |      262144      |        183501       |    30.00     |
|      mmg.cross_attn.0.layer_norm.weight     |       512        |         512         |     0.00     |
|       mmg.cross_attn.0.layer_norm.bias      |       512        |          0          |    100.00    |
|     mmg.cross_attn.1.attention.fc_q.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.1.attention.fc_q.weight   |      262144      |        183501       |    30.00     |
|     mmg.cross_attn.1.attention.fc_k.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.1.attention.fc_k.weight   |      262144      |        183501       |    30.00     |
|     mmg.cross_attn.1.attention.fc_v.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.1.attention.fc_v.weight   |      262144      |        183501       |    30.00     |
|     mmg.cross_attn.1.attention.fc_o.bias    |       512        |          0          |    100.00    |
|    mmg.cross_attn.1.attention.fc_o.weight   |      262144      |        183501       |    30.00     |
|      mmg.cross_attn.1.layer_norm.weight     |       512        |         512         |     0.00     |
|       mmg.cross_attn.1.layer_norm.bias      |       512        |          0          |    100.00    |
|   mmg.cross_attn_rel.0.attention.fc_q.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.0.attention.fc_q.weight |      262144      |        183501       |    30.00     |
|   mmg.cross_attn_rel.0.attention.fc_k.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.0.attention.fc_k.weight |      262144      |        183501       |    30.00     |
|   mmg.cross_attn_rel.0.attention.fc_v.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.0.attention.fc_v.weight |      262144      |        183501       |    30.00     |
|   mmg.cross_attn_rel.0.attention.fc_o.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.0.attention.fc_o.weight |      262144      |        183501       |    30.00     |
|    mmg.cross_attn_rel.0.layer_norm.weight   |       512        |         512         |     0.00     |
|     mmg.cross_attn_rel.0.layer_norm.bias    |       512        |          0          |    100.00    |
|   mmg.cross_attn_rel.1.attention.fc_q.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.1.attention.fc_q.weight |      262144      |        183501       |    30.00     |
|   mmg.cross_attn_rel.1.attention.fc_k.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.1.attention.fc_k.weight |      262144      |        183501       |    30.00     |
|   mmg.cross_attn_rel.1.attention.fc_v.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.1.attention.fc_v.weight |      262144      |        183501       |    30.00     |
|   mmg.cross_attn_rel.1.attention.fc_o.bias  |       512        |          0          |    100.00    |
|  mmg.cross_attn_rel.1.attention.fc_o.weight |      262144      |        183501       |    30.00     |
|    mmg.cross_attn_rel.1.layer_norm.weight   |       512        |         512         |     0.00     |
|     mmg.cross_attn_rel.1.layer_norm.bias    |       512        |          0          |    100.00    |
|    mmg.gcn_2ds.0.edgeatten.nn_edge.0.bias   |       1024       |         1024        |     0.00     |
|   mmg.gcn_2ds.0.edgeatten.nn_edge.0.weight  |     1572864      |       1101005       |    30.00     |
|    mmg.gcn_2ds.0.edgeatten.nn_edge.2.bias   |       512        |         512         |     0.00     |
|   mmg.gcn_2ds.0.edgeatten.nn_edge.2.weight  |      524288      |        367002       |    30.00     |
|     mmg.gcn_2ds.0.edgeatten.nn.0.weight     |      16384       |        16384        |     0.00     |
|      mmg.gcn_2ds.0.edgeatten.nn.0.bias      |       128        |         128         |     0.00     |
|     mmg.gcn_2ds.0.edgeatten.nn.3.weight     |       4096       |         4096        |     0.00     |
|      mmg.gcn_2ds.0.edgeatten.nn.3.bias      |        32        |          32         |     0.00     |
|   mmg.gcn_2ds.0.edgeatten.proj_edge.0.bias  |       512        |         512         |     0.00     |
|  mmg.gcn_2ds.0.edgeatten.proj_edge.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_2ds.0.edgeatten.proj_query.0.bias  |       512        |         512         |     0.00     |
| mmg.gcn_2ds.0.edgeatten.proj_query.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_2ds.0.edgeatten.proj_value.0.bias  |       256        |         256         |     0.00     |
| mmg.gcn_2ds.0.edgeatten.proj_value.0.weight |      131072      |        91750        |    30.00     |
|          mmg.gcn_2ds.0.prop.0.bias          |       768        |         768         |     0.00     |
|         mmg.gcn_2ds.0.prop.0.weight         |      589824      |        412877       |    30.00     |
|          mmg.gcn_2ds.0.prop.2.bias          |       512        |         512         |     0.00     |
|         mmg.gcn_2ds.0.prop.2.weight         |      393216      |        275251       |    30.00     |
|    mmg.gcn_2ds.1.edgeatten.nn_edge.0.bias   |       1024       |         1024        |     0.00     |
|   mmg.gcn_2ds.1.edgeatten.nn_edge.0.weight  |     1572864      |       1101005       |    30.00     |
|    mmg.gcn_2ds.1.edgeatten.nn_edge.2.bias   |       512        |         512         |     0.00     |
|   mmg.gcn_2ds.1.edgeatten.nn_edge.2.weight  |      524288      |        367002       |    30.00     |
|     mmg.gcn_2ds.1.edgeatten.nn.0.weight     |      16384       |        16384        |     0.00     |
|      mmg.gcn_2ds.1.edgeatten.nn.0.bias      |       128        |         128         |     0.00     |
|     mmg.gcn_2ds.1.edgeatten.nn.3.weight     |       4096       |         4096        |     0.00     |
|      mmg.gcn_2ds.1.edgeatten.nn.3.bias      |        32        |          32         |     0.00     |
|   mmg.gcn_2ds.1.edgeatten.proj_edge.0.bias  |       512        |         512         |     0.00     |
|  mmg.gcn_2ds.1.edgeatten.proj_edge.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_2ds.1.edgeatten.proj_query.0.bias  |       512        |         512         |     0.00     |
| mmg.gcn_2ds.1.edgeatten.proj_query.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_2ds.1.edgeatten.proj_value.0.bias  |       256        |         256         |     0.00     |
| mmg.gcn_2ds.1.edgeatten.proj_value.0.weight |      131072      |        91750        |    30.00     |
|          mmg.gcn_2ds.1.prop.0.bias          |       768        |         768         |     0.00     |
|         mmg.gcn_2ds.1.prop.0.weight         |      589824      |        412877       |    30.00     |
|          mmg.gcn_2ds.1.prop.2.bias          |       512        |         512         |     0.00     |
|         mmg.gcn_2ds.1.prop.2.weight         |      393216      |        275251       |    30.00     |
|    mmg.gcn_3ds.0.edgeatten.nn_edge.0.bias   |       1024       |         1024        |     0.00     |
|   mmg.gcn_3ds.0.edgeatten.nn_edge.0.weight  |     1572864      |       1101005       |    30.00     |
|    mmg.gcn_3ds.0.edgeatten.nn_edge.2.bias   |       512        |         512         |     0.00     |
|   mmg.gcn_3ds.0.edgeatten.nn_edge.2.weight  |      524288      |        367002       |    30.00     |
|     mmg.gcn_3ds.0.edgeatten.nn.0.weight     |      16384       |        16384        |     0.00     |
|      mmg.gcn_3ds.0.edgeatten.nn.0.bias      |       128        |         128         |     0.00     |
|     mmg.gcn_3ds.0.edgeatten.nn.3.weight     |       4096       |         4096        |     0.00     |
|      mmg.gcn_3ds.0.edgeatten.nn.3.bias      |        32        |          32         |     0.00     |
|   mmg.gcn_3ds.0.edgeatten.proj_edge.0.bias  |       512        |         512         |     0.00     |
|  mmg.gcn_3ds.0.edgeatten.proj_edge.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_3ds.0.edgeatten.proj_query.0.bias  |       512        |         512         |     0.00     |
| mmg.gcn_3ds.0.edgeatten.proj_query.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_3ds.0.edgeatten.proj_value.0.bias  |       256        |         256         |     0.00     |
| mmg.gcn_3ds.0.edgeatten.proj_value.0.weight |      131072      |        91750        |    30.00     |
|          mmg.gcn_3ds.0.prop.0.bias          |       768        |         768         |     0.00     |
|         mmg.gcn_3ds.0.prop.0.weight         |      589824      |        412877       |    30.00     |
|          mmg.gcn_3ds.0.prop.2.bias          |       512        |         512         |     0.00     |
|         mmg.gcn_3ds.0.prop.2.weight         |      393216      |        275251       |    30.00     |
|    mmg.gcn_3ds.1.edgeatten.nn_edge.0.bias   |       1024       |         1024        |     0.00     |
|   mmg.gcn_3ds.1.edgeatten.nn_edge.0.weight  |     1572864      |       1101005       |    30.00     |
|    mmg.gcn_3ds.1.edgeatten.nn_edge.2.bias   |       512        |         512         |     0.00     |
|   mmg.gcn_3ds.1.edgeatten.nn_edge.2.weight  |      524288      |        367002       |    30.00     |
|     mmg.gcn_3ds.1.edgeatten.nn.0.weight     |      16384       |        16384        |     0.00     |
|      mmg.gcn_3ds.1.edgeatten.nn.0.bias      |       128        |         128         |     0.00     |
|     mmg.gcn_3ds.1.edgeatten.nn.3.weight     |       4096       |         4096        |     0.00     |
|      mmg.gcn_3ds.1.edgeatten.nn.3.bias      |        32        |          32         |     0.00     |
|   mmg.gcn_3ds.1.edgeatten.proj_edge.0.bias  |       512        |         512         |     0.00     |
|  mmg.gcn_3ds.1.edgeatten.proj_edge.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_3ds.1.edgeatten.proj_query.0.bias  |       512        |         512         |     0.00     |
| mmg.gcn_3ds.1.edgeatten.proj_query.0.weight |      262144      |        183501       |    30.00     |
|  mmg.gcn_3ds.1.edgeatten.proj_value.0.bias  |       256        |         256         |     0.00     |
| mmg.gcn_3ds.1.edgeatten.proj_value.0.weight |      131072      |        91750        |    30.00     |
|          mmg.gcn_3ds.1.prop.0.bias          |       768        |         768         |     0.00     |
|         mmg.gcn_3ds.1.prop.0.weight         |      589824      |        412877       |    30.00     |
|          mmg.gcn_3ds.1.prop.2.bias          |       512        |         512         |     0.00     |
|         mmg.gcn_3ds.1.prop.2.weight         |      393216      |        275251       |    30.00     |
|           mmg.self_attn_fc.0.bias           |        32        |          32         |     0.00     |
|          mmg.self_attn_fc.0.weight          |       128        |          90         |    29.69     |
|          mmg.self_attn_fc.2.weight          |        32        |          32         |     0.00     |
|           mmg.self_attn_fc.2.bias           |        32        |          0          |    100.00    |
|           mmg.self_attn_fc.3.bias           |        32        |          32         |     0.00     |
|          mmg.self_attn_fc.3.weight          |       1024       |         717         |    29.98     |
|          mmg.self_attn_fc.5.weight          |        32        |          32         |     0.00     |
|           mmg.self_attn_fc.5.bias           |        32        |          0          |    100.00    |
|           mmg.self_attn_fc.6.bias           |        8         |          8          |     0.00     |
|          mmg.self_attn_fc.6.weight          |       256        |         179         |    30.08     |
|         triplet_projector_3d.0.bias         |       1024       |         1024        |     0.00     |
|        triplet_projector_3d.0.weight        |     1572864      |       1101005       |    30.00     |
|         triplet_projector_3d.3.bias         |       512        |         512         |     0.00     |
|        triplet_projector_3d.3.weight        |      524288      |        367002       |    30.00     |
|         triplet_projector_2d.0.bias         |       1024       |         1024        |     0.00     |
|        triplet_projector_2d.0.weight        |     1572864      |       1101005       |    30.00     |
|         triplet_projector_2d.3.bias         |       512        |         512         |     0.00     |
|        triplet_projector_2d.3.weight        |      524288      |        367002       |    30.00     |
|                mlp_3d.0.bias                |       504        |         504         |     0.00     |
|               mlp_3d.0.weight               |      387072      |        270950       |    30.00     |
|               mlp_3d.1.weight               |       504        |         504         |     0.00     |
|                mlp_3d.1.bias                |       504        |          0          |    100.00    |
|          rel_predictor_3d.fc1.bias          |       512        |          0          |    100.00    |
|         rel_predictor_3d.fc1.weight         |      262144      |        183501       |    30.00     |
|          rel_predictor_3d.fc2.bias          |       256        |          0          |    100.00    |
|         rel_predictor_3d.fc2.weight         |      131072      |        91750        |    30.00     |
|          rel_predictor_3d.fc3.bias          |        26        |          0          |    100.00    |
|         rel_predictor_3d.fc3.weight         |       6656       |         4659        |    30.00     |
|          rel_predictor_2d.fc1.bias          |       512        |          0          |    100.00    |
|         rel_predictor_2d.fc1.weight         |      262144      |        183501       |    30.00     |
|          rel_predictor_2d.fc2.bias          |       256        |          0          |    100.00    |
|         rel_predictor_2d.fc2.weight         |      131072      |        91750        |    30.00     |
|          rel_predictor_2d.fc3.bias          |        26        |          0          |    100.00    |
|         rel_predictor_2d.fc3.weight         |       6656       |         4659        |    30.00     |
|            obj_predictor_2d.bias            |       160        |         160         |     0.00     |
|           obj_predictor_2d.weight           |      81920       |        57344        |    30.00     |
|            obj_predictor_3d.bias            |       160        |         160         |     0.00     |
|           obj_predictor_3d.weight           |      81920       |        57344        |    30.00     |
|                    Total                    |     27162021     |       19108135      |    29.65     |
+---------------------------------------------+------------------+---------------------+--------------+
